id;name;description;neighborhood_overview;picture_url;host_id;latitude;longitude;location;property_type;room_type;accommodates;bathrooms_text;bedrooms;beds;price;minimum_nights;maximum_nights;instant_bookable;amenities,
11;VOLUPTA' S HOUSE in Rome;ONLY FOR SUNDAY 03/12/2017 CHECK-IN IS AT 18:00 PM VOLUPTA HOUSE it's the ideal apartment for your holiday or business trips. It's located in Via Carlo Emanuele, with separate entrance, in the heart of Rome, Colosseo (800 mt), Fori Imperiali the basilicas of San Giovanni in Laterano and Santa Croce in Gerusalemme,Circo Massimo, as well as the best roman 'trattoria' and restaurants. iTs 50 mt far from the Metro Manzoni and five-minutes walk from the main Train Station 'Roma Termini'. The space VOLUPTA HOUSE it's the ideal apartment for your holiday or business trips. It's located in Via Carlo Emanuele, with separate entrance, 50 mq, and consists of a lounge with kitchenette, a large bedroom for 4 PEOPLE (one double bed and two single beds) and a bathroom with shower. Into VOLUPTA HOUSE you can find all the necessary comforts: Satellite TV + NETFLIX, Wi-Fi, AIR CONDITIONING, WASHING MACHINE, INDUCTION PLATES, REFRIGERATOR, Po;;https://a0.muscache.com/im/pictures/36d13c38-8674-4950-ad32-054590e23f78.jpg,https://a0.muscache.com/im/pictures/e62e906f-fd8e-47c3-971f-22864e219075.jpg,https://a0.muscache.com/im/pictures/d37469aa-0bfd-41e5-af37-9677f07c3e53.jpg,https://a0.muscache.com/im/pictures/e29ebc5b-9031-412b-9407-a8c0064cc28f.jpg,https://a0.muscache.com/im/pictures/1541744a-83e8-4cec-be8c-07d39998c597.jpg;9;41.89083;12.50961;Roma, Italia;Entire condo;Entire home/apt;5;1 bath;1;4;61.00;1;365;TRUE;TV,Essentials,AC - split type ductless system,Hair dryer,Hot water,Paid parking on premises,Free parking on premises,Heating,Smoking allowed,Self check-in,Wifi,Breakfast,Private entrance,Refrigerator,Hangers,Lock on bedroom door,Fire extinguisher,Long term stays allowed,Shampoo,Building staff,Pets allowed
12;LPM Apartment 3 - Fontana di Trevi;The apartment, newly renovated, is located in the historic center of Rome, just few steps away from the Trevi Fountain, surounded by the nice internal gardens. Nearby you can find the Barberini Metro station. Great location, very quite and safe area. License number CVI-000757-2;The apartment is located just a few steps from the Trevi Fountain. The location is really nice and comfortable.;https://a0.muscache.com/im/pictures/e7219fe5-3fc7-4c83-bfdd-c7838fba112e.jpg,https://a0.muscache.com/im/pictures/4cd093bf-0f66-4f91-b38b-49948cded3f6.jpg,https://a0.muscache.com/im/pictures/33a42834-6367-473f-90ed-c9366b323b20.jpg,https://a0.muscache.com/im/pictures/2610e6ab-535b-4657-a123-89a74360ff56.jpg,https://a0.muscache.com/im/pictures/4f0c7355-f9d3-4993-ba19-d8bf34660267.jpg;10;41.90165;12.48517;Roma, Italia;Entire rental unit;Entire home/apt;4;1 bath;2;3;98.00;1;365;TRUE;Essentials,First aid kit,Hair dryer,Cleaning products,Hot water,Candy refrigerator,Microwave,Paid parking on premises,Cooking basics,Sunsilk shampoo,Central heating,Dining table,Bidet,Coffee,Gas stove,Laundromat nearby,Host greets you,Hot water kettle,Malizia body soap,Free washer in unit,Private entrance,Wifi,Kitchen,Single level home,Baking sheet,Paid street parking off premises,Drying rack for clothing,Hangers,Coffee maker: Nespresso,Bed linens,Carbon monoxide alarm,Dedicated workspace,32\ HDTV with Netflix,Clothing storage: closet,Freezer,Books and reading material,Wine glasses,Elevator,Fire extinguisher,La germania stainless steel oven,Dishes and silverware,Board games,Free street parking
13;Trevi Luxury Apartment;Trevi Luxury apartment is located in the heart of Rome, in a very strategic areas for those who want to visit the city: literally in front of Trevi Fountain, 8 minutes from the Spanish Steps and 6 minutes from the Pantheon (URL HIDDEN). The apartment is located on the second floor and was completely renovated last February. It's composed of an open space with one bed, a living room, a fully equipped kitchen and a bathroom (URL HIDDEN). If you are looking for an unforgettable stay, in the most exclusive shopping district, you are in the right place! Suitable for couples or friends! The space Trevi Luxury apartment is located in the heart of Rome, in a very strategic areas for those who want to visit the city: literally in front of Trevi Fountain, 8 minutes from the Spanish Steps and 6 minutes from the Pantheon. The apartment is located on the second floor and was completely renovated last February. It's composed of an open space with on;As you can easily see on the map, the apartment is located in Via Delle Muratte, exactly opposite the famous Trevi Fountain. Although the apartment is really well connected to the rest of the city, you won't probably need to take public transport at all: all the main attractions are within walking distance. Remember to bring comfortable shoes with you, and let's start your Roman holiday! - Trevi Fountain, just outside the apartment. - Piazza Venezia / Via del Corso: 0.3 m - Piazza Navona: 0.6 m - Piazza di Spagna: 0.5 m - Pantheon: 0.3 m - Colosseum: 0.9 m - Villa Borghese /Pincio (the most Famous park in Rome) 0.9 m - Campo dei Fiori: 0.8 m If you need to know all the best things to do in Rome, like: sights, restaurants, night clubs, etc.. I left my personal guide of activities once you arrive in Rome on the airbnb website. Don't worry, I'll print it too and give it to you at check-in;https://a0.muscache.com/im/pictures/d4dae5ba-a2ee-4141-b066-1c01d0e87bf4.jpg,https://a0.muscache.com/im/pictures/7290fabe-0aba-4a5f-92f7-afb727e940eb.jpg,https://a0.muscache.com/im/pictures/2c8e7e9c-5f71-49ae-a98d-6506725a92ee.jpg,https://a0.muscache.com/im/pictures/35660c00-3716-4b1d-b347-bea12d50dc31.jpg,https://a0.muscache.com/im/pictures/c0cb1852-80fa-4331-96ca-ebf227b1aff8.jpg;11;41.90033;12.48186;Roma, Italia;Entire rental unit;Entire home/apt;2;1 bath;1;1;76.00;2;365;TRUE;Essentials,Free washer in building,AC - split type ductless system,First aid kit,Extra pillows and blankets,Hair dryer,Cleaning products,Toaster,Body soap,Hot water,Cooking basics,Room-darkening shades,Iron,Central heating,Dining table,Bidet,Stainless steel gas stove,Coffee,Ariston stainless steel oven,HDTV with standard cable,Wifi,Laundromat nearby,Hot water kettle,Outdoor furniture,Host greets you,Private entrance,Bathtub,Kitchen,Hotpoint refrigerator,Shared patio or balcony,Baking sheet,Central air conditioning,Shared backyard Fully fenced,Paid parking garage off premises,Single level home,Drying rack for clothing,Hangers,Shower gel,Bed linens,Dishwasher,Dedicated workspace,Courtyard view,Freezer,Wine glasses,Coffee maker: drip coffee maker, espresso machine,Clothing storage: closet and dresser,Long term stays allowed,Dishes and silverware,Outdoor dining area,Shampoo,Free street parking
14;Romantico Appartamento con Vista sulla Fontana;Prepara un caffé con una delle viste più famose al mondo, in questo elegante appartamento di fronte alla Fontana di Trevi. L'appartamento ha materiali di alta qualità, finiture di pregio e un'atmosfera ideale per delle indimenticabili vacanze romane. License number 13874;Scorci romantici e angoli di quiete, stradine di ciottoli, botteghe e negozi: questo è Trevi. Getta la monetina nella fontana e passeggia in uno dei quartieri più incantevoli di Roma per entrare nella sua magia.;https://a0.muscache.com/im/pictures/c44a74c2-df6a-4e0b-8300-6b18ae6901cd.jpg,https://a0.muscache.com/im/pictures/f94e2c14-0fb9-44d5-bc04-5dd3ab89aadf.jpg,https://a0.muscache.com/im/pictures/98f41cb6-6f7a-4685-b509-887b5f5fe004.jpg,https://a0.muscache.com/im/pictures/35ae096a-eb45-44e2-b686-9d238a7192af.jpg,https://a0.muscache.com/im/pictures/50323142-a198-4a0d-94fd-be2548399802.jpg;12;41.900471;12.482325;Roma, Italia;Entire rental unit;Entire home/apt;3;1 bath;2;2;157.00;1;15;TRUE;TV,Essentials,First aid kit,Air conditioning,Extra pillows and blankets,Hair dryer,Cleaning products,Body soap,Hot water,Cooking basics,Iron,Central heating,Dining table,Bidet,Gas stove,Wifi,Hot water kettle,Refrigerator,Kitchen,Oven,Bed linens,Dishwasher,Clothing storage: closet,Freezer,Elevator,Long term stays allowed,Dishes and silverware,Free street parking
15;50% off in March: Spring at Colosseum!;50% Off in March Self check in service is available. Breakfast, Wifi, Air conditioning, Netflix, Minibar are included in the rental! cheap transfers and tours. Storage room upon request. 7 minutes walking distance from Termini station, 2 minutes walking distance from the tube (A line), two steps from Coliseum and Santa Maria Maggiore. The space SPECIAL OFFER IN DECEMBER: 50% OFF Book your Holidays at Coliseum during the best season of the year: Winter Less tourists and more fun! Self check in option is available and easy! Reception 24/7 Baggage deposit upon request. Santa Nara is recently remodeled with a nordic taste, we have chosen luxurious and high end materials such as: wood, concrete, copper.. The room is provided with: air conditioning, mini-bar, super fast WiFi, private bathroom with shower, smart 50'' Tv, desk, wardrobe, Nespresso machine and capsules. No public transportation is needed as all the;Santa Nara is located in one of the most elegant street of Rome, two steps away from Colosseum and Imperial Forums. the neighborhood is full of services, good restaurants and shops. Santa Maria Maggiore is the place where all the touristic tours of the city start and the Hop-on Hop-off bus too start from. The best ice cream parlour of Rome (Fassi) and the best bakery in town (Regoli) are very also close to Santa Nara. Parking Info *Street parking is available and easy, and a private parking lot is only two steps away.;https://a0.muscache.com/im/pictures/4af72c95-3ea8-4015-b8b2-76e63529167f.jpg,https://a0.muscache.com/im/pictures/93def7e9-3972-4ad6-babe-0d2f325e28af.jpg,https://a0.muscache.com/im/pictures/503de136-9b48-419f-b8a6-713c5c6ed3ff.jpg,https://a0.muscache.com/im/pictures/6a676d3f-e6d6-4ba5-9e25-c0c14651ab18.jpg,https://a0.muscache.com/im/pictures/1373b3e3-b51c-4796-bae4-766421968b2a.jpg;13;41.8915;12.50261;Roma, Italia;Entire rental unit;Entire home/apt;3;1 bath;1;2;67.00;1;365;FALSE;Essentials,AC - split type ductless system,First aid kit,Extra pillows and blankets,Stainless steel oven,Hair dryer,Cleaning products,Toaster,Body soap,Hot water,Microwave,Paid parking on premises,Cooking basics,Room-darkening shades,Iron,Central heating,Dining table,Bidet,Coffee,Self check-in,Gas stove,Wifi,Laundromat nearby,Hot water kettle,Free washer in unit,Smart lock,Refrigerator,Coffee maker: pour-over coffee,Kitchen,Single level home,Baking sheet,Paid parking garage off premises,Drying rack for clothing,Hangers,Shower gel,Luggage dropoff allowed,42\ HDTV with Amazon Prime Video, Chromecast, Disney+, Netflix,Bed linens,Dishwasher,Dedicated workspace,Clothing storage: closet,Crib - always at the listing,Freezer,Elevator,Smoke alarm,Long term stays allowed,Safe,Dishes and silverware,Shampoo,City skyline view,Free street parking
16;Colosseo Suite Apartment;We are in the middle of Rome, right next to the colosseum and the Basilica di San Giovanni in Laterano. You can easily reach many of the main historical, cultural and entertaining points by feet. The suite is very close to the subway and many bus stops, located in a very quiet road, well repared from traffic and noises of the city, we welcome you in an detached and restructured building, made of six small appartments. The space The appartment has the dimention of 30 mq. And it's just been restructured and accessorized. It has a separate entrance and it's very quiet, it's composed of a wide bedroom plus a double bed and a sofa bed for a single person, a large bathroom with shower and a complete kitchen. The appartment is equipped with a reserved balcony covered with table. Is provided with air conditioning, wi-fi, satellite TV, and safety box. Other things to note The tourist tax of 3.5 euros per person per night is t;;https://a0.muscache.com/im/pictures/4c4b21ba-9e12-41fb-87fc-3cf9d8f48fbb.jpg,https://a0.muscache.com/im/pictures/42677d46-b1db-40fd-8c70-a96edea40028.jpg,https://a0.muscache.com/im/pictures/b5eac6d7-fb8a-468c-aa62-bb77892b8f58.jpg,https://a0.muscache.com/im/pictures/c146bfe4-d69d-40d2-810f-40a417e8f221.jpg,https://a0.muscache.com/im/pictures/1050a1d4-63f2-4305-b020-537a611c639d.jpg;14;41.88751;12.50666;Roma, Italia;Entire rental unit;Entire home/apt;3;1 bath;2;2;55.00;1;20;TRUE;Essentials,AC - split type ductless system,First aid kit,Extra pillows and blankets,Paid parking lot on premises,Hair dryer,Hot water,Room-darkening shades,Iron,Crib,Central heating,Window guards,Coffee maker,Self check-in,Wifi,Changing table,32\ HDTV with Amazon Prime Video, Netflix,Babysitter recommendations,Security cameras on property,Paid parking garage off premises,Luggage dropoff allowed,Pack n play/Travel crib,Bed linens,Children\u2019s books and toys,Carbon monoxide alarm,Dedicated workspace,Courtyard view,Lock on bedroom door,Garden view,Elevator,Lockbox,Paid washer,Fire extinguisher,Smoke alarm,Long term stays allowed,Shampoo,City skyline view
17;Exclusive Loft, vintage design and Near Colosseo;Wake up in a unique, nautical-themed sleeping loft and descend the ornate spiral staircase of this romantic studio. The space features exposed brick arches reminiscent of Old Rome, eclectic vintage furnishings, and modern conveniences;Cavour is one of the most characteristic and romantic areas in Rome. It's perfectly located in the city center, and a 15-minute walk to the Colosseum and Roman Forums. It's a 10-minute walk to Termini Station and the Cavour Metro Station (Line B).;https://a0.muscache.com/im/pictures/c3e8fc8b-b500-493d-8b17-2e6963cd9c82.jpg,https://a0.muscache.com/im/pictures/5ec50a2b-e3d0-454f-a512-e74fd707088c.jpg,https://a0.muscache.com/im/pictures/04bfce27-ce3e-43aa-88bf-0d8ba436cbf6.jpg,https://a0.muscache.com/im/pictures/f355e5d6-ac91-4f91-bdb0-32aec834da42.jpg,https://a0.muscache.com/im/pictures/ac4327f3-b0c0-4f51-bbc8-410a7103a437.jpg;15;41.90057;12.49045;Roma, Italia;Entire loft;Entire home/apt;4;1 bath;1;2;95.00;1;14;TRUE;Essentials,First aid kit,Air conditioning,Extra pillows and blankets,Clothing storage: closet and wardrobe,Hair dryer,Cleaning products,Toaster,Body soap,Hot water,Microwave,Cooking basics,Room-darkening shades,Iron,Central heating,Dining table,Bidet,Coffee,HDTV with Amazon Prime Video, Disney+, Fire TV, Netflix, standard cable,Laundromat nearby,Self check-in,Hot water kettle,Stove,Refrigerator,Kitchen,Paid street parking off premises,Hangers,Shower gel,Luggage dropoff allowed,Coffee maker: Nespresso,Ethernet connection,Bed linens,Dedicated workspace,Wifi,Elevator,Books and reading material,Lockbox,Fire extinguisher,Long term stays allowed,Dishes and silverware,Heating - split type ductless system,Shampoo,Pets allowed
18;2 Arenula Luxury Apartment x 7;2 Arenula Luxury Apartment x 7 is located exactly between Campo de Fiori and Piazza Navona. The apartment is on the second floor of a completely renewed old-style building with elevator. It is composed by two separate double bedrooms, one spacious living room with sofa-bed, a fully equipped kitchen with washing machine and dishwasher, 2 bathrooms The flat is suitable for romantic weekends for couples, for families with kids, or groups of friends. Max Capacity 7 people The space Luxury Arenula Apartment is located exactly between Campo de Fiori and Piazza Navona. The apartment is on the second floor of a completely renewed old-style building with elevator. It is composed by two separate double bedrooms, one spacious living room with sofa-bed, a fully equipped kitchen with washing machine and dishwasher, 2 bathrooms The flat is suitable for romantic weekends for couples, for families with kids;As you can easily check on the map, the apartment is located on Largo Arenula, exactly in the middle between Campo de Fiori (2 mins walk) and Piazza Navona (3 mins walk). Although the apartment is really well connected to the rest of the city, you won't probably need to take public transport at all: all the main attractions are within walking distance. - Campo de Fiori: 600m - Piazza Venezia / Via del Corso: 350m - Piazza Navona: 600m - Piazza di Spagna 1.5km - Jewish Ghetto: 100m - Pantheon 600m - Colosseum 1.6 km - Circo massimo 1.9 km - Terme Caracalla 1.9 km - Fontana di trevi 1.1 km You couldn't ask for a better location !;https://a0.muscache.com/im/pictures/9f3fb84c-c52d-436a-974a-00c4b33e9b2d.jpg,https://a0.muscache.com/im/pictures/75b3baad-cd47-4c55-980e-14536b5381ac.jpg,https://a0.muscache.com/im/pictures/37bb155d-d677-41f5-9532-4519f4399b97.jpg,https://a0.muscache.com/im/pictures/8cec9ef7-b707-4a88-950d-a6cf7e0b5d48.jpg,https://a0.muscache.com/im/pictures/9559b5de-d420-412e-a206-d4f9630b6fa7.jpg;11;41.8947;12.47758;Roma, Italia;Entire rental unit;Entire home/apt;7;2 baths;2;3;98.00;1;365;TRUE;TV,Essentials,Dedicated workspace,Heating,Kitchen,Clothing storage: closet,Bidet,Air conditioning,Hair dryer,Cleaning products,Wifi,Hot water,Long term stays allowed,Dishes and silverware,Cooking basics,Pets allowed,Iron,Free street parking
19;Primavera al Colosseo: meno 50% a marzo;March special offer: 50% Off Baggage deposit upon request. Self check in is available. Breakfast, Air conditioning, Wifi, Netflix, Minibar are included in the rental. 7 minutes walking distance from Termini station, 2 minutes walking distance from the tube (A line), two steps from Coliseum and Santa Maria Maggiore. Cheap tours and transfer upon request. The space SUPER OFFER FOR DECEMBER: 50% off. Book your holiday at Coliseum during the best season of the year: Winter! Less tourists and more fun. Self check in service is available. Baggage deposit upon request. Available for smart working. Reception 24/7 Santa Nara is a Designer Home apartment in the centre of Rome. Remodeled with a nordic taste, we have chosen luxurious and high end materials such as: wood, concrete, copper.. The room is provided with: air conditioning, mini-bar, super fast WiFi, private bathroom with shower, 50'' Tv, Netflix, desk, ;Santa Nara is located on one of the most elegant street of Rome, two steps away from Coliseum and Santa Maria Maggiore. The neighborhood is full of services, good restaurants and shops. Santa Maria Maggiore is the place where all the touristic tours of the city start and the Hop-on Hop-off bus too start from. The best ice cream parlour of Rome (Fassi) and the best bakery in town (Regoli) are very also close to Santa Nara. Parking Info *Street parking is available and easy, and a private parking l;https://a0.muscache.com/im/pictures/1943b45d-e7c8-412d-9ebf-c8c0721fd790.jpg,https://a0.muscache.com/im/pictures/5d25bba4-c938-4180-8206-db6809b23b34.jpg,https://a0.muscache.com/im/pictures/adc278db-094f-4a4f-b7a1-4010e19a95b1.jpg,https://a0.muscache.com/im/pictures/b86d8d40-dbc7-4e85-8969-1e7992513b5f.jpg,https://a0.muscache.com/im/pictures/17e8b7da-1cb6-4dba-b667-6c8b6f5de4e1.jpg;13;41.89141;12.5036;Roma, Italia;Entire rental unit;Entire home/apt;2;1 bath;1;1;63.00;1;365;FALSE;Essentials,AC - split type ductless system,Private backyard fully fenced,Extra pillows and blankets,Hair dryer,Cleaning products,Body soap,Hot water,Cooking basics,Keypad,Dining table,Bidet,Coffee,HDTV,Laundromat nearby,Wifi,Self check-in,Hot water kettle,Stove,Free washer in unit,Refrigerator,Coffee maker: pour-over coffee,Kitchen,Single level home,Baking sheet,Paid street parking off premises,Drying rack for clothing,Hangers,Shower gel,Oven,Luggage dropoff allowed,Private patio or balcony,Cleaning available during stay,Bed linens,Dedicated workspace,Clothing storage: closet,Freezer,Garden view,Wine glasses,Long term stays allowed,Dishes and silverware,Outdoor dining area,Heating - split type ductless system,Shampoo,Free street parking
20;Primavera al Colosseo: -50% a marzo;Super Offer: 50% Off in December Self check in service is available. Baggage deposit upon request. Breakfast, Wifi, Air conditioning, Netflix, TV, Minibar are included in the rental! 7 minutes walking distance from Termini station, 2 minutes walking distance from the tube (A line), two steps from Coliseum and Santa Maria Maggiore. Cheap transfers and tours available upon request. The space SPECIAL OFFER IN DECEMBER: 50% OFF Book your Holidays at Coliseum during the best season of the year: Winter! less tourists and more fun. Self check in option is available and easy! Baggage deposit upon request. Reception 24/7. Santa Nara is recently remodeled with a nordic taste, we have chosen luxurious and high end materials such as: wood, concrete, copper.. The room is provided with: air conditioning, mini-bar, super fast WiFi, private bathroom with shower, smart 50'' Tv, Netflix, desk, wardrobe, Nespresso machin;Santa Nara is located on one of the most elegant street of Rome, two steps away from Coliseum and Santa Maria Maggiore. The area is full of services, good restaurants and shops. Santa Maria Maggiore is the place where all the touristic tours of the city start and the Hop-on Hop-off bus starts from. The best ice cream parlour of Rome (Fassi) and the best bakery in town (Regoli) are very close to Santa Nara. Parking Info *Street parking is available and easy, and a private parking lot is only two steps away.;https://a0.muscache.com/im/pictures/d09de6b1-530e-4b2f-80f5-ba5bd2ebb794.jpg,https://a0.muscache.com/im/pictures/81c8b236-75ef-4913-b996-f3f24f444fec.jpg,https://a0.muscache.com/im/pictures/4977ea71-a3ab-4f73-9dc1-0408b96dd2cc.jpg,https://a0.muscache.com/im/pictures/611a0e7d-85fe-4a99-9554-429a078d036d.jpg,https://a0.muscache.com/im/pictures/2d0dc42f-9a63-47fe-b719-3d837251992c.jpg;13;41.89071;12.50199;Roma, Italia;Entire rental unit;Entire home/apt;2;1 bath;1;1;61.00;1;365;FALSE;HDTV with Amazon Prime Video,Essentials,AC - split type ductless system,First aid kit,Extra pillows and blankets,Hair dryer,Cleaning products,Toaster,Body soap,Hot water,Cooking basics,Room-darkening shades,Iron,Keypad,Radiant heating,Dining table,Window guards,Bidet,Coffee maker: espresso machine,Self check-in,Laundromat nearby,Hot water kettle,Free washer in unit,Private entrance,Refrigerator,Candy induction stove,Security cameras on property,Kitchen,Single level home,Baking sheet,Paid parking garage off premises,Drying rack for clothing,Hangers,Shower gel,Oven,Luggage dropoff allowed,Wifi,Bed linens,Carbon monoxide alarm,Dedicated workspace,Clothing storage: closet,Freezer,Wine glasses,Elevator,Smoke alarm,Long term stays allowed,Safe,Dishes and silverware,Shampoo,Free street parking
21;Terrace Apartment in Rome's heart;Savor dinner by candlelight on the magnificent terrace of this enchanting 4th-floor apartment. The home's open-space living plan is bright and welcoming, with every comfort within reach. Soft furnishings and eclectic accents add a bohemian touch.;Nestled near Piazza di Spagna and the Spanish Steps, the apartment is very quiet and relaxing. Supermarkets, banks, transport links, and most Rome attractions, are all nearby, as are Via del Corso and Via Condotti, two important streets for shopping.;https://a0.muscache.com/im/pictures/8dbbc347-2196-4d9f-a531-e9bb94486328.jpg,https://a0.muscache.com/im/pictures/e2af5d57-ee39-42b8-a38c-c17948f66d11.jpg,https://a0.muscache.com/im/pictures/292ea8da-3110-46a8-99b3-47fae1653e02.jpg,https://a0.muscache.com/im/pictures/5390fe01-3c81-468b-bf28-8cc780d92c49.jpg,https://a0.muscache.com/im/pictures/f061b90a-1ed9-4320-8293-98905099744e.jpg;8;41.90323;12.4806;Roma, Italia;Entire rental unit;Entire home/apt;4;1 bath;1;1;123.00;1;365;TRUE;Essentials,Paid parking lot on premises,Hair dryer,Body soap,Hot water,Microwave,Cooking basics,Room-darkening shades,Iron,Crib - available upon request,Outlet covers,Central heating,Dining table,Bidet,Stainless steel gas stove,Coffee maker,Self check-in,Indesit refrigerator,Laundromat nearby,Hot water kettle,Free washer in unit,HDTV,Kitchen,Single level home,Baking sheet,Paid parking garage off premises,Drying rack for clothing,Hangers,Shower gel,Wifi,Oven,Portable fans,Bed linens,Standalone high chair - available upon request,Courtyard view,Clothing storage: closet,Freezer,Garden view,Wine glasses,Lockbox,Long term stays allowed,Dishes and silverware,Shampoo,Free street parking
22;Studio indipendente con bagno privato a Roma!;Tutti, senza distinzioni, siete i benvenuti nel mio studio con bagno privato in uno dei quartieri più vivaci e centrali della Roma popolare! The space Studiolo di 20 mq appena ristrutturato composto da camera con ampio letto matrimoniale (materasso in lattice) e armadio-guardaroba, bagno privato con servizi e doccia, angolo cottura (lavello, frigorifero, fornello elettrico, microonde, bollitore) in cui poter preparare colazione o pasti e spazio scrivania Guest access Nello studio c'e un angolo cucina con fornello elettrico, microonde, frugorifero e bollitore , oltre a un tavolo in cui poter prendere colazione o pasti. NB: lo studio è completamente indipendente ma la porta d'ingresso affaccia su un piccolo atrio di uso comune per il monolocale e per un altro appartamento! Other things to note Il check in dopo le 21:00 prevede il pagamento di un supplemento di 10 euro in contanti all'arrivo...;Il mio alloggio si trova in uno dei quartieri pi� colorati e vivaci di Roma, il Pigneto... Fulcro della movida romana, questo quartiere centrale di Roma offre bar, pub, ristoranti a prezzi contenuti aperti fino a tarda notte! Inoltre c'� un supermercato proprio nello stesso immobile per poter fare la spesa!;https://a0.muscache.com/im/pictures/1edf927e-75ec-42e3-99e8-35be9540b681.jpg,https://a0.muscache.com/im/pictures/ac6edea9-6df7-41b1-b2d2-31ad9fbe971d.jpg,https://a0.muscache.com/im/pictures/916a83eb-6387-41d9-b9b4-40c0d8d8fc83.jpg,https://a0.muscache.com/im/pictures/3d80ef5a-8c71-4fbd-95cb-d9b06d554ea4.jpg,https://a0.muscache.com/im/pictures/c2353af8-af0f-4b3a-bfa9-8cb9d03b1c4e.jpg;16;41.88636;12.52928;Roma, Italia;Entire rental unit;Entire home/apt;2;1 bath;1;1;31.00;1;30;TRUE;TV,Essentials,Heating,Kitchen,Air conditioning,Coffee maker,Hair dryer,Wifi,Hangers,Long term stays allowed,Dishes and silverware,Microwave,Private entrance,Shampoo,Refrigerator,Washer
23;Camera entrata indipendente;private access studio apartment Rome center Colosseum;;https://a0.muscache.com/im/pictures/34379848/7574b4a2_original.jpg,https://a0.muscache.com/im/pictures/32211560/2cdd4246_original.jpg,https://a0.muscache.com/im/pictures/32211670/0c494682_original.jpg,https://a0.muscache.com/im/pictures/32211629/3c6db253_original.jpg,https://a0.muscache.com/im/pictures/32211679/264cb21c_original.jpg;17;41.89436;12.49025;Roma, Italia;Private room in rental unit;Private room;2;1 private bath;1;1;43.00;1;365;TRUE;Free parking on premises,Carbon monoxide alarm,Dedicated workspace,Kitchen,Air conditioning,Lock on bedroom door,Wifi,Coffee maker,HDTV with standard cable,Fire extinguisher,Long term stays allowed,Free washer in unit,Dishes and silverware,Refrigerator,Free dryer in unit,Pets allowed
24;Proprio dietro il Colosseo;The apartment is located in Monti, the oldest neighbourhood of Rome. It is very near to Coliseum and to Imperial Forum (about 200 meters). You can get there easily from Central Railways Station (Stazione Termini) in few minutes or you will spend less of one hour from Fiumicino or Ciampino airport (by train, taxi or bus) . It is suitable for couples, friends, families with children and for business trips. Guest access We usually wait the guests for check in but you can do also easily self check in Other things to note We sanitize the apartment in compliance with the cleaning procedures provided by the Ministry of Health. In the same way we periodically sanitize all air conditioners.;;https://a0.muscache.com/im/pictures/e0153888-94b8-47e7-ad47-d8820029882c.jpg,https://a0.muscache.com/im/pictures/05f274c5-edbf-4357-8a5e-8804c9e18209.jpg,https://a0.muscache.com/im/pictures/63abf902-25c5-4722-a80e-30e9e5d6c51f.jpg,https://a0.muscache.com/im/pictures/ba0b776c-cdd4-48fd-93cb-7c5b14a99844.jpg,https://a0.muscache.com/im/pictures/778ca7e3-412c-4908-ae53-4431b795c6e0.jpg;7;41.89548;12.48987;Roma, Italia;Entire rental unit;Entire home/apt;4;1 bath;1;2;56.00;1;365;TRUE;TV,Essentials,Air conditioning,Extra pillows and blankets,Hair dryer,Cleaning products,Body soap,Hot water,Cooking basics,Room-darkening shades,Iron,Central heating,Dining table,Smoking allowed,Wifi,Changing table,Dryer,Clear, shoulder shampoo,Bathtub,Kitchen,Drying rack for clothing,Hangers,Shower gel,Luggage dropoff allowed,Bread maker,Ethernet connection,Bed linens,Washer,Dedicated workspace,Trash compactor,Clothing storage: closet,Lock on bedroom door,Outdoor shower,Wine glasses,Dishes and silverware,Outdoor dining area,Free street parking
